generation,params,T,target_distance,dead,convexity
2,"[4.707177295677688, 0.0, 0.0, 3.9343297504950003, 10.0, 3.0, 8.389207315921642, 6.125529947665633, 0.48286229421498333, 1e-06, 8.71060633978045, 1.8635988653716504, 9.010211494332513, 7.996329818215119, 9.429964162229954, 3.854034174665288, 1.0]","[622.0, 953.0, 3000.0]","[44.70731826961107, 212.3118314060365, 446.94474212559396]","[0.0, 0.8, 1.0]","[0.0, 0.14787684266512835, 0.008046444396481712]"
2,"[10.0, 3.736935554699895, 10.0, 0.0, 10.0, 6.392922677790645, 0.0, 10.0, 1e-06, 1e-06, 7.719867567045639, 1e-06, 9.828089243036931, 9.912296468240918, 2.6526318043979584, 3.100558615401573, 1.0]","[1369.0, 3000.0, 3000.0]","[40.79476036678997, 130.8270612807207, 371.505105722387]","[0.0, 1.0, 1.0]","[0.0, 0.7139903863019917, 0.30175199339255443]"
2,"[8.132150193951942, 0.0, 0.0, 6.063075109519208, 8.403412668215982, 3.93401645736078, 10.0, 1.395270769821324, 0.999999, 1e-06, 6.701090192666864, 6.128139951186585, 5.751718335392834, 4.30280493363373, 2.5346350013299768, 3.6846968749741587, 1.1920046536698257]","[993.0, 3000.0, 3000.0]","[42.01820934758686, 238.1219931079392, 454.8301743375017]","[0.0, 1.0, 1.0]","[0.0, 0.005286927055168461, 0.006628332337798565]"
2,"[4.042467158408912, 0.0, 0.0, 5.4831082835540546, 10.0, 3.0, 4.665548747964601, 4.091895141290634, 0.3375833360207645, 1e-06, 9.29270897345452, 7.096543616812417, 7.547779632056737, 9.867906314380226, 1.1538633709881703, 4.452760409090471, 1.0]","[622.0, 3000.0, 3000.0]","[44.70731826961107, 236.34159826834173, 445.8059863138644]","[0.0, 1.0, 1.0]","[0.0, 0.006951807993855617, 0.012823367415252284]"
2,"[6.5623812411648785, 0.0, 4.221037371186036, 10.0, 10.0, 5.38401706384673, 5.9839665489342675, 2.7499275906385754, 1e-06, 1e-06, 1e-06, 10.0, 10.0, 10.0, 4.9198975284125535, 10.0, 1.0]","[1154.0, 3000.0, 3000.0]","[41.033493245860186, 200.0303020369556, 377.2266432034123]","[0.0, 1.0, 1.0]","[0.0, 0.6960182576831145, 0.2482366660214162]"
2,"[10.0, 3.973210805261814, 9.369671393067433, 8.686550898711026, 10.0, 8.814596090176623, 2.3954470409895885, 4.66940887683052, 0.5236199859674864, 1e-06, 1e-06, 2.8966000724718812, 4.296450254974888, 8.169873410280982, 6.743971792782389, 6.401639093851596, 4.201942679222513]","[1866.0, 3000.0, 3000.0]","[40.94074269136195, 127.69366945798765, 338.82945037734135]","[0.0, 0.4, 1.0]","[0.0, 1.8888176812617803, 0.953360369990538]"
2,"[7.707533237544897, 3.2697112796689543, 4.221037371186036, 10.0, 10.0, 7.036279712103231, 0.0, 5.071284454090295, 1e-06, 1e-06, 1e-06, 1.0000008999999999, 4.324361107551884, 10.0, 4.9198975284125535, 10.0, 2.7724220497348244]","[1503.0, 3000.0, 3000.0]","[40.77896875207222, 131.72186250200048, 348.6465940656201]","[0.0, 1.0, 1.0]","[0.0, 0.7601336666385732, 0.4332180307318602]"
2,"[10.0, 5.322203426598842, 0.5889029739912222, 0.0, 10.0, 6.242701460326173, 0.0, 0.0, 1e-06, 1e-06, 5.23160680248856, 1e-06, 8.786078479679642, 7.036429737631238, 1.0, 2.809413297210821, 1.0]","[1337.0, 3000.0, 3000.0]","[40.822346326720336, 133.09369580006856, 369.5557323815082]","[0.0, 1.0, 1.0]","[0.0, 0.6274090375321235, 0.2968500113447102]"
2,"[1.204989896054558, 10.0, 5.226881843507932, 8.237358404343606, 3.0, 6.8141504303803435, 4.158240165367506, 10.0, 0.999999, 1e-06, 1e-06, 2.0024249141668786, 3.0, 2.0, 10.0, 2.0, 3.7078958307029035]","[3000.0, 3000.0, 3000.0]","[61.11294099341718, 184.35280756966102, 392.6090734146427]","[0.0, 0.6, 1.0]","[0.0, 1.749507955532042, 1.0723026905407305]"
2,"[9.259922679243328, 10.0, 10.0, 10.0, 3.0, 8.5481539467008, 4.818794265514994, 6.092383791996312, 0.9771802819135944, 1e-06, 1e-06, 8.083413281640308, 3.0, 4.468070313045841, 10.0, 4.468070313045841, 8.851894624366023]","[3000.0, 3000.0, 3000.0]","[70.20102905444222, 202.20444394983173, 437.28355330889923]","[0.0, 0.0, 1.0]","[0.0, 1.921425218738259, 0.7325082615935274]"
